Touchdown ID,Receiving TDs,Rushing TDs,PR TD
1,,5,
2,,7,
3,1,3,
4,,3,
5,2,,
6,,4,
7,,6,
8,,6,
9,1,4,
10,1,4,
11,2,2,
12,1,4,
13,,3,
14,,4,
15,1,3,
16,1,3,
17,1,2,
18,,2,
19,,3,
20,1,2,
21,,3,
22,,3,
23,,3,
24,,3,
25,,3,
26,1,,
27,,,
28,,,
29,,1,
30,2,,
31,,2,
32,1,1,
33,,,
34,,2,
35,2,,
36,,2,
37,,2,
38,1,,
39,,2,
40,,2,
41,,2,
42,,2,
43,,2,
44,,2,
45,,2,
46,,2,
47,1,,
48,,2,
49,,,
50,,,
51,,1,
52,,1,
53,1,,
54,,1,
55,,1,
56,1,,
57,,1,
58,,1,
59,,1,
60,,1,
61,,,
62,,1,
63,1,,
64,,1,
65,,1,
66,,1,
67,1,,
68,1,,
69,1,,
70,,1,
71,1,,
72,,,
73,1,,
74,,1,
75,,1,
76,,1,
77,,1,
78,,1,
79,,1,
80,,1,
81,,1,
82,1,,
83,,1,
84,1,,
85,,1,
86,1,,
87,,1,
88,,1,
89,,1,
90,1,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,1,6,
102,1,,
103,1,4,
104,,2,
105,1,1,
106,,7,
107,2,,
108,,6,
109,,6,
110,,,
111,3,2,
112,,1,
113,1,3,
114,,4,
115,,4,
116,1,3,
117,2,2,
118,,,
119,2,1,
120,,3,
121,,3,
122,1,,
123,2,1,
124,2,1,
125,1,2,
126,,,
127,2,,
128,,2,
129,,2,
130,,2,
131,1,,
132,2,,
133,,2,
134,2,,
135,,2,
136,,1,
137,,2,
138,,2,
139,,2,
140,,1,
141,1,1,
142,,,
143,,,
144,1,,
145,1,,
146,1,,
147,1,,
148,,1,
149,,1,
150,,,
151,,1,
152,,,1
153,1,,
154,,1,
155,,1,
156,1,,
157,,1,
158,,1,
159,,,
160,,1,
161,1,,
162,1,,
163,,1,
164,,1,
165,,1,
166,,1,
167,,,
168,1,,
169,1,,
170,1,,
171,,1,
172,,1,
173,,1,
174,1,,
175,,1,
176,,1,
177,1,,
178,,1,
179,1,,
180,,,
181,1,,
182,,1,
183,,1,
184,,1,
185,1,,
186,1,,
187,,1,
188,1,,
189,,1,
190,,1,
191,,,
192,,,
193,,,
194,1,,
195,,,
196,,1,
197,1,,
198,,1,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,1,4,1
210,,12,
211,3,2,1
212,,3,
213,1,7,
214,,2,
215,,7,
216,,6,
217,,,
218,2,4,
219,,1,
220,5,,
221,,5,
222,5,,
223,2,1,
224,1,3,
225,1,,
226,3,1,
227,,,
228,,4,
229,1,3,
230,,4,
231,,3,
232,,3,
233,,2,
234,,3,
235,1,2,
236,3,,
237,,,
238,2,,
239,1,2,
240,,3,
241,3,,
242,,,
243,,,
244,1,1,
245,,1,
246,1,,
247,,2,
248,,2,
249,2,,
250,,2,
251,2,,
252,,2,
253,2,,
254,1,,
255,2,,
256,,2,
257,2,,
258,2,,
259,,2,
260,,1,
261,2,,
262,1,1,
263,,2,
264,1,1,
265,2,,
266,1,1,
267,1,,
268,,1,
269,,1,
270,,1,
271,,,
272,,1,
273,1,,
274,,1,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,1,
281,1,,
282,,1,
283,1,,
284,,,
285,,,
286,1,,
287,,1,
288,,1,
289,,1,
290,,,
291,,1,
292,,1,
293,,1,
294,,,
295,,,
296,,1,
297,1,,
298,1,,
299,,,
300,,,
301,,1,
302,,,
303,,,
304,1,,
305,,1,
306,1,,
307,1,,
308,1,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,4,,
319,,4,
320,1,5,
321,,7,
322,,5,
323,4,2,
324,,5,
325,,,
326,2,4,
327,3,3,
328,4,1,
329,1,3,
330,3,,
331,,5,
332,,5,
333,2,3,
334,,3,
335,,3,
336,,2,
337,1,2,1
338,,,
339,2,2,
340,3,1,
341,,2,
342,1,2,
343,3,1,
344,1,3,
345,,4,
346,,4,
347,2,,
348,,2,1
349,,,
350,3,,
351,3,,
352,3,,
353,,2,
354,1,2,
355,,1,
356,3,,
357,1,2,
358,1,2,
359,,2,
360,,3,
361,2,,
362,2,,
363,1,,
364,,,
365,,,
366,1,,1
367,1,1,
368,1,1,
369,1,1,
370,,2,
371,1,1,
372,1,1,
373,2,,
374,,2,
375,1,1,
376,,,
377,,,
378,,,
379,,1,
380,,,
381,,,
382,,,
383,,,
384,1,,
385,1,,
386,1,,
387,,,
388,,,
389,1,,
390,,1,
391,,,
392,1,,
393,1,,
394,1,,
395,1,,
396,1,,
397,1,,
398,1,,
399,1,,
400,,,
401,,1,
402,,,
403,,,
404,,1,
405,,1,
406,1,,
407,,1,
408,1,,
409,,,
410,1,,
411,1,,
412,,1,
413,,,
414,1,,
415,,,
416,,,
417,,,
418,,,
419,,1,
420,,1,
421,1,,
422,,1,
423,1,,
424,,,
425,,1,
426,,,
427,,1,
428,,1,
429,1,,
430,,,
431,,,
432,,,
433,,,
434,,,
435,,,
436,,,
437,,,
438,,,
439,,,
440,,,
441,1,4,
442,,8,
443,1,6,3
444,,10,
445,1,7,
446,,5,
447,1,2,
448,,7,
449,3,3,
450,1,5,
451,,,
452,1,4,
453,,,
454,,,
